id	venation	parent_point	attr_addition	soulpower	money	active_rate	needlevel

{8,21}	8	20	[{toughness,16}]	184000	17200	25	55
{8,20}	8	19	[{toughness,16}]	179000	16900	30	55
{8,19}	8	18	[{toughness,16}]	153000	14400	32	55
{8,18}	8	17	[{toughness,14}]	132000	12300	35	55
{8,17}	8	16	[{toughness,14}]	110000	9900	36	50
{8,16}	8	15	[{toughness,14}]	85000	7400	37	50
{8,15}	8	14	[{toughness,12}]	69000	5700	38	50
{8,14}	8	13	[{toughness,12}]	58000	4400	39	50
{8,13}	8	12	[{toughness,12}]	44000	3300	40	45
{8,12}	8	11	[{toughness,10}]	33000	2600	42	45
{8,11}	8	10	[{toughness,10}]	29000	2300	44	45
{8,10}	8	9	[{toughness,10}]	24000	2000	46	45
{8,9}	8	8	[{toughness,8}]	19000	1500	48	40
{8,8}	8	7	[{toughness,8}]	16000	1300	50	40
{8,7}	8	6	[{toughness,8}]	15000	1200	55	40
{8,6}	8	5	[{toughness,6}]	14000	1100	60	40
{8,5}	8	4	[{toughness,6}]	13000	800	65	39
{8,4}	8	3	[{toughness,6}]	9000	500	70	38
{8,3}	8	2	[{toughness,4}]	7000	300	80	37
{8,2}	8	1	[{toughness,4}]	5000	200	90	36
{8,1}	8	0	[{toughness,4}]	3000	100	100	35
{7,21}	7	20	[{criticaldestroyrate,16}]	184000	17200	25	55
{7,20}	7	19	[{criticaldestroyrate,16}]	179000	16900	30	55
{7,19}	7	18	[{criticaldestroyrate,16}]	153000	14400	32	55
{7,18}	7	17	[{criticaldestroyrate,14}]	132000	12300	35	55
{7,17}	7	16	[{criticaldestroyrate,14}]	110000	9900	36	50
{7,16}	7	15	[{criticaldestroyrate,14}]	85000	7400	37	50
{7,15}	7	14	[{criticaldestroyrate,12}]	69000	5700	38	50
{7,14}	7	13	[{criticaldestroyrate,12}]	58000	4400	39	50
{7,13}	7	12	[{criticaldestroyrate,12}]	44000	3300	40	45
{7,12}	7	11	[{criticaldestroyrate,10}]	33000	2600	42	45
{7,11}	7	10	[{criticaldestroyrate,10}]	29000	2300	44	45
{7,10}	7	9	[{criticaldestroyrate,10}]	24000	2000	46	45
{7,9}	7	8	[{criticaldestroyrate,8}]	19000	1500	48	40
{7,8}	7	7	[{criticaldestroyrate,8}]	16000	1300	50	40
{7,7}	7	6	[{criticaldestroyrate,8}]	15000	1200	55	40
{7,6}	7	5	[{criticaldestroyrate,6}]	14000	1100	60	40
{7,5}	7	4	[{criticaldestroyrate,6}]	13000	800	65	39
{7,4}	7	3	[{criticaldestroyrate,6}]	9000	500	70	38
{7,3}	7	2	[{criticaldestroyrate,4}]	7000	300	80	37
{7,2}	7	1	[{criticaldestroyrate,4}]	5000	200	90	36
{7,1}	7	0	[{criticaldestroyrate,4}]	3000	100	100	35
{6,21}	6	20	[{criticalrate,16}]	184000	17200	25	55
{6,20}	6	19	[{criticalrate,16}]	179000	16900	30	55
{6,19}	6	18	[{criticalrate,16}]	153000	14400	32	55
{6,18}	6	17	[{criticalrate,14}]	132000	12300	35	55
{6,17}	6	16	[{criticalrate,14}]	110000	9900	36	50
{6,16}	6	15	[{criticalrate,14}]	85000	7400	37	50
{6,15}	6	14	[{criticalrate,12}]	69000	5700	38	50
{6,14}	6	13	[{criticalrate,12}]	58000	4400	39	50
{6,13}	6	12	[{criticalrate,12}]	44000	3300	40	45
{6,12}	6	11	[{criticalrate,10}]	33000	2600	42	45
{6,11}	6	10	[{criticalrate,10}]	29000	2300	44	45
{6,10}	6	9	[{criticalrate,10}]	24000	2000	46	45
{6,9}	6	8	[{criticalrate,8}]	19000	1500	48	40
{6,8}	6	7	[{criticalrate,8}]	16000	1300	50	40
{6,7}	6	6	[{criticalrate,8}]	15000	1200	55	40
{6,6}	6	5	[{criticalrate,6}]	14000	1100	60	40
{6,5}	6	4	[{criticalrate,6}]	13000	800	65	39
