intensify	item	money	maxperfectness	unlockskill	attrrate
飞剑强度	需要消耗的物品	消耗钱币	需要的完美值	开放技能	属性转化几率
25	{[24030131,24030130],1}	65000	100	[]	350
24	{[24030121,24030120],1}	60000	96	[]	340
23	{[24030121,24030120],1}	55200	92	[]	330
22	{[24030111,24030110],1}	50600	88	[]	320
21	{[24030111,24030110],1}	46200	84	[]	310
20	{[24030101,24030100],1}	42000	80	[]	300
19	{[24030101,24030100],1}	38000	76	[]	290
18	{[24030091,24030090],1}	34200	72	[]	280
17	{[24030091,24030090],1}	30600	68	[]	270
16	{[24030081,24030080],1}	27200	64	[]	260
15	{[24030081,24030080],1}	24000	60	[803000001]	250
14	{[24030071,24030070],1}	21000	56	[]	240
13	{[24030071,24030070],1}	18200	52	[]	230
12	{[24030061,24030060],1}	15600	48	[]	220
11	{[24030061,24030060],1}	13200	44	[]	210
10	{[24030051,24030050],1}	11000	40	[]	200
9	{[24030051,24030050],1}	9000	36	[]	190
8	{[24030041,24030040],1}	7200	32	[]	180
7	{[24030041,24030040],1}	5600	28	[]	170
6	{[24030031,24030030],1}	4200	24	[]	160
5	{[24030031,24030030],1}	3000	20	[]	150
4	{[24030021,24030020],1}	2000	16	[]	140
3	{[24030021,24030020],1}	1200	12	[]	130
2	{[24030011,24030010],1}	600	8	[]	120
1	{[24030011,24030010],1}	200	4	[]	110
