level	item	money	power	defence	hpmax	mpmax
等级	需要物品（[物品id],物品数量）	钱币	增长攻击	防御	血量	蓝量
60	{[],0}	0	276	201	1300	345
59	{[24010011,24010010],199}	1258244	272	198	1280	340
58	{[24010011,24010010],193}	1143858	268	195	1260	335
57	{[24010011,24010010],187}	1039871	264	192	1240	330
56	{[24010011,24010010],181}	945337	260	189	1220	325
55	{[24010011,24010010],175}	859397	256	186	1200	320
54	{[24010011,24010010],169}	781270	252	183	1180	315
53	{[24010011,24010010],163}	710245	248	180	1160	310
52	{[24010011,24010010],158}	645677	244	177	1140	305
51	{[24010011,24010010],152}	586979	240	174	1120	300
50	{[24010011,24010010],147}	533617	236	171	1100	295
49	{[24010011,24010010],141}	485106	232	168	1080	290
48	{[24010011,24010010],136}	441005	228	165	1060	285
47	{[24010011,24010010],131}	400914	224	162	1040	280
46	{[24010011,24010010],126}	364467	220	159	1020	275
45	{[24010011,24010010],121}	331334	216	156	1000	270
44	{[24010011,24010010],116}	301213	212	153	980	265
43	{[24010011,24010010],111}	273830	208	150	960	260
42	{[24010011,24010010],107}	248936	204	147	940	255
41	{[24010011,24010010],102}	226305	200	144	920	250
40	{[24010011,24010010],98}	205732	196	141	900	245
39	{[24010011,24010010],93}	187029	192	138	880	240
38	{[24010011,24010010],89}	170026	188	135	860	235
37	{[24010011,24010010],85}	154569	184	132	840	230
36	{[24010011,24010010],81}	140517	180	129	820	225
35	{[24010011,24010010],77}	127743	176	126	800	220
34	{[24010011,24010010],73}	116130	172	123	780	215
33	{[24010011,24010010],69}	105573	168	120	760	210
32	{[24010011,24010010],66}	95975	164	117	740	205
31	{[24010011,24010010],62}	87250	160	114	720	200
30	{[24010011,24010010],59}	79318	156	111	700	195
29	{[24010011,24010010],55}	72107	152	108	680	190
28	{[24010011,24010010],52}	65552	148	105	660	185
27	{[24010011,24010010],49}	59593	144	102	640	180
26	{[24010011,24010010],46}	54175	140	99	620	175
25	{[24010011,24010010],43}	49250	136	96	600	170
24	{[24010011,24010010],40}	44773	132	93	580	165
23	{[24010011,24010010],37}	40703	128	90	560	160
22	{[24010011,24010010],35}	37003	124	87	540	155
21	{[24010011,24010010],32}	33639	120	84	520	150
20	{[24010011,24010010],30}	30581	116	81	500	145
19	{[24010011,24010010],27}	27801	112	78	480	140
18	{[24010011,24010010],25}	25274	108	75	460	135
17	{[24010011,24010010],23}	22976	104	72	440	130
16	{[24010011,24010010],21}	20887	100	69	420	125
15	{[24010011,24010010],19}	18988	96	66	400	120
14	{[24010011,24010010],17}	17262	92	63	380	115
13	{[24010011,24010010],15}	15693	88	60	360	110
12	{[24010011,24010010],14}	14266	84	57	340	105
11	{[24010011,24010010],12}	12969	80	54	320	100
10	{[24010011,24010010],11}	11790	76	51	300	95
9	{[24010011,24010010],9}	10718	72	48	280	90
8	{[24010011,24010010],8}	9744	68	45	260	85
7	{[24010011,24010010],7}	8858	64	42	240	80
6	{[24010011,24010010],6}	8053	60	39	220	75
5	{[24010011,24010010],5}	7321	56	36	200	70
4	{[24010011,24010010],4}	6655	52	33	180	65
3	{[24010011,24010010],3}	6050	48	30	160	60
2	{[24010011,24010010],3}	5500	44	27	140	55
1	{[24010011,24010010],2}	5000	40	24	120	50
