phase	item	money	speed	power	defense	hpmax	mpmax	maxintensity	failedbless	rate	addrate
阶数	需要物品(物品ID，物品数量)		附加速度	攻击	防御	血量	蓝量	强化上限		成功率	附加成功率
12	{[],0}	24000	22	220	110	1100	330	25	0	0	0
11	{[24040011,24040010],40}	22000	20	200	100	1000	300	24	2	2	0.1
10	{[24040011,24040010],34}	20000	18	180	90	900	270	22	4	4	0.1
9	{[24040011,24040010],28}	18000	16	160	80	800	240	20	5	4	0.5
8	{[24040011,24040010],22}	16000	14	140	70	700	210	18	6	5	0.5
7	{[24040011,24040010],18}	14000	12	120	60	600	180	16	8	5	0.5
6	{[24040011,24040010],14}	12000	10	100	50	500	150	14	10	5	0.5
5	{[24040011,24040010],10}	10000	8	80	40	400	120	12	15	6	1
4	{[24040011,24040010],8}	8000	6	60	30	300	90	10	20	6	1
3	{[24040011,24040010],6}	6000	4	40	20	200	60	8	30	8	2
2	{[24040011,24040010],4}	4000	2	20	10	100	30	6	50	8	5
1	{[24040011,24040010],2}	2000	0	0	0	0	0	4	100	10	2
1	{[24040011,24040010],2}	2000	0	0	0	0	0	4	100	10	2
