skillid	level	item	money	effectinfo
技能ID	技能等级	所需要的物品ID，数量	消耗钱币	达到的效果
540000003	10	[]	0	[{addhp,0.4}]
540000003	9	[{[13110051,13110050],50},{[24080011,24080010],500}]	256292	[{addhp,0.36}]
540000003	8	[{[13110051,13110050],40},{[24080011,24080010],300}]	170861	[{addhp,0.32}]
540000003	7	[{[13110051,13110050],30},{[24080011,24080010],200}]	113907	[{addhp,0.28}]
540000003	6	[{[13110051,13110050],20},{[24080011,24080010],100}]	75938	[{addhp,0.24}]
540000003	5	[{[13110051,13110050],10},{[24080011,24080010],50}]	50625	[{addhp,0.2}]
540000003	4	[{[13110041,13110040],50},{[24080011,24080010],30}]	33750	[{addhp,0.16}]
540000003	3	[{[13110041,13110040],40},{[24080011,24080010],20}]	22500	[{addhp,0.12}]
540000003	2	[{[13110041,13110040],30},{[24080011,24080010],10}]	15000	[{addhp,0.08}]
540000003	1	[{[13110041,13110040],20},{[24080011,24080010],5}]	10000	[{addhp,0.04}]
540000002	10	[]	0	[{reducemp,0.4}]
540000002	9	[{[13110051,13110050],50},{[24080011,24080010],500}]	256292	[{reducemp,0.36}]
540000002	8	[{[13110051,13110050],40},{[24080011,24080010],300}]	170861	[{reducemp,0.32}]
540000002	7	[{[13110051,13110050],30},{[24080011,24080010],200}]	113907	[{reducemp,0.28}]
540000002	6	[{[13110051,13110050],20},{[24080011,24080010],100}]	75938	[{reducemp,0.24}]
540000002	5	[{[13110051,13110050],10},{[24080011,24080010],50}]	50625	[{reducemp,0.2}]
540000002	4	[{[13110041,13110040],50},{[24080011,24080010],30}]	33750	[{reducemp,0.16}]
540000002	3	[{[13110041,13110040],40},{[24080011,24080010],20}]	22500	[{reducemp,0.12}]
540000002	2	[{[13110041,13110040],30},{[24080011,24080010],10}]	15000	[{reducemp,0.08}]
540000002	1	[{[13110041,13110040],20},{[24080011,24080010],5}]	10000	[{reducemp,0.04}]
540000001	10	[]	0	[{recoverhp,{5,1250}}]
540000001	9	[{[13110051,13110050],50},{[24080011,24080010],500}]	256292	[{recoverhp,{5,1000}}]
540000001	8	[{[13110051,13110050],40},{[24080011,24080010],300}]	170861	[{recoverhp,{5,800}}]
540000001	7	[{[13110051,13110050],30},{[24080011,24080010],200}]	113907	[{recoverhp,{5,640}}]
540000001	6	[{[13110051,13110050],20},{[24080011,24080010],100}]	75938	[{recoverhp,{5,512}}]
540000001	5	[{[13110051,13110050],10},{[24080011,24080010],50}]	50625	[{recoverhp,{5,410}}]
540000001	4	[{[13110041,13110040],50},{[24080011,24080010],30}]	33750	[{recoverhp,{5,328}}]
540000001	3	[{[13110041,13110040],40},{[24080011,24080010],20}]	22500	[{recoverhp,{5,262}}]
540000001	2	[{[13110041,13110040],30},{[24080011,24080010],10}]	15000	[{recoverhp,{5,210}}]
540000001	1	[{[13110041,13110040],20},{[24080011,24080010],5}]	10000	[{recoverhp,{5,168}}]
803000002	10	[]	0	[{power,1100},{defense,680},{hitrate,80},{criticalrate,80}]
803000002	9	[{[13110051,13110050],50},{[24080011,24080010],500}]	384438	[{power,880},{defense,544},{hitrate,64},{criticalrate,64}]
803000002	8	[{[13110051,13110050],40},{[24080011,24080010],400}]	256292	[{power,704},{defense,435},{hitrate,51},{criticalrate,51}]
803000002	7	[{[13110051,13110050],30},{[24080011,24080010],300}]	170861	[{power,563},{defense,348},{hitrate,41},{criticalrate,41}]
803000002	6	[{[13110051,13110050],20},{[24080011,24080010],200}]	113907	[{power,450},{defense,278},{hitrate,33},{criticalrate,33}]
803000002	5	[{[13110051,13110050],10},{[24080011,24080010],100}]	75938	[{power,360},{defense,222},{hitrate,26},{criticalrate,26}]
803000002	4	[{[13110041,13110040],50},{[24080011,24080010],50}]	50625	[{power,288},{defense,178},{hitrate,21},{criticalrate,21}]
803000002	3	[{[13110041,13110040],40},{[24080011,24080010],40}]	33750	[{power,230},{defense,142},{hitrate,17},{criticalrate,17}]
803000002	2	[{[13110041,13110040],30},{[24080011,24080010],30}]	22500	[{power,184},{defense,114},{hitrate,14},{criticalrate,14}]
803000002	1	[{[13110041,13110040],20},{[24080011,24080010],20}]	15000	[{power,147},{defense,91},{hitrate,11},{criticalrate,11}]
803000001	1	[]	0	[{moveto,20}]
