
	
100	[{13030031,5},{13020031,9},{13050011,5},{13060011,3},{13040001,20}]
95	[{13030021,5},{13020031,9},{13050011,5},{13060011,3},{14000001,30}]
90	[{13010011,5},{13010021,3},{13010031,1},{13040001,20},{14000001,30}]
85	[{13030021,5},{13020031,9},{13050011,5},{13060011,3}]
80	[{13010011,5},{13010021,3},{13040001,20},{14000001,30}]
75	[{19010651,2},{19010121,5},{19010381,5},{14000001,30}]
70	[{13030021,2},{13020031,6},{13050011,4},{13060011,3}]
65	[{13010011,4},{13010021,2},{13040001,10},{14000001,20}]
60	[{13040001,10},{19010381,5},{14000001,20},{19000271,5}]
50	[{13010011,5},{13020031,3},{13050011,3},{19000271,3}]
40	[{19010121,2},{13040001,5},{19010081,1}]
30	[{13010011,1},{13020031,1},{13050011,3}]
20	[{19000271,1},{19010281,1}]
10	[{11030101,10},{19000301,2}]
1	[{11010101,10},{19000301,1}]
